,gisjoin,year,state,blkgrpa,geoid,white_g3,black_g3,native_g3,asian_g3,hawaiianpacific_g3,other_g3,multiracial_g3,white_nhl_g3,hispanic_latino_g3
3205,G27012907903001,2010-2014,Minnesota,1,15000US271297903001,3,0,0,0,0,0,0,3,0
3206,G27012907903002,2010-2014,Minnesota,2,15000US271297903002,3,0,0,0,0,0,0,3,0
3207,G27012907904001,2010-2014,Minnesota,1,15000US271297904001,3,0,0,0,0,0,0,3,0
3208,G27012907904002,2010-2014,Minnesota,2,15000US271297904002,5,0,0,0,0,0,0,5,0
3209,G27012907904003,2010-2014,Minnesota,3,15000US271297904003,6,0,0,0,0,0,0,0,6
3210,G27012907905001,2010-2014,Minnesota,1,15000US271297905001,16,0,0,0,0,0,0,16,0
3211,G27012907905002,2010-2014,Minnesota,2,15000US271297905002,22,0,0,0,0,0,0,22,0
3212,G27012907905003,2010-2014,Minnesota,3,15000US271297905003,7,0,0,0,0,0,0,7,0
3213,G27012907906001,2010-2014,Minnesota,1,15000US271297906001,5,0,0,0,0,0,0,5,0
3214,G27012907906002,2010-2014,Minnesota,2,15000US271297906002,19,0,0,0,0,0,0,17,2
3215,G27012907906003,2010-2014,Minnesota,3,15000US271297906003,6,0,0,0,0,0,0,4,2
3216,G27012907906004,2010-2014,Minnesota,4,15000US271297906004,0,0,0,0,0,0,0,0,0
3217,G27013100701001,2010-2014,Minnesota,1,15000US271310701001,41,0,0,0,0,0,0,41,0
3218,G27013100701002,2010-2014,Minnesota,2,15000US271310701002,18,0,0,0,0,0,4,16,2
3219,G27013100701003,2010-2014,Minnesota,3,15000US271310701003,6,0,0,0,0,0,0,6,0
3220,G27013100702001,2010-2014,Minnesota,1,15000US271310702001,8,0,0,0,0,0,0,8,0
3221,G27013100702002,2010-2014,Minnesota,2,15000US271310702002,9,0,0,0,0,0,0,9,0
3222,G27013100702003,2010-2014,Minnesota,3,15000US271310702003,6,0,0,0,0,0,0,6,0
3223,G27013100702004,2010-2014,Minnesota,4,15000US271310702004,39,0,0,0,0,0,0,39,0
3224,G27013100703001,2010-2014,Minnesota,1,15000US271310703001,3,0,0,0,0,0,0,3,0
3225,G27013100703002,2010-2014,Minnesota,2,15000US271310703002,15,0,0,0,0,0,0,15,0
3226,G27013100703003,2010-2014,Minnesota,3,15000US271310703003,10,0,0,0,0,0,0,10,0
3227,G27013100703004,2010-2014,Minnesota,4,15000US271310703004,3,0,0,0,0,0,11,3,0
3228,G27013100703005,2010-2014,Minnesota,5,15000US271310703005,8,0,0,0,0,0,0,8,0
3229,G27013100704001,2010-2014,Minnesota,1,15000US271310704001,0,0,0,0,0,0,0,0,0
3230,G27013100704002,2010-2014,Minnesota,2,15000US271310704002,25,0,0,0,0,0,0,23,2
3231,G27013100704003,2010-2014,Minnesota,3,15000US271310704003,41,0,0,0,0,0,0,37,4
3232,G27013100704004,2010-2014,Minnesota,4,15000US271310704004,0,0,0,0,0,0,0,0,0
3233,G27013100705011,2010-2014,Minnesota,1,15000US271310705011,11,0,0,0,0,0,0,11,0
3234,G27013100705012,2010-2014,Minnesota,2,15000US271310705012,0,0,0,0,0,0,0,0,0
3235,G27013100705031,2010-2014,Minnesota,1,15000US271310705031,22,0,0,0,0,0,0,22,0
