141,G2708190100703,270819000344,2708190100703
142,G2708190201103,270819002294,2708190201103
143,G2708190200903,270819003067,2708190200903
144,G2708190101103,270819000346,2708190101103
145,G2708190201303,270819003506,2708190201303
146,G2711670200603,271167000543,2711670200603
147,G2708190100503,270819000342,2708190100503
148,G2711670100103,271167000541,2711670100103
149,G2741460200103,274146003065,2741460200103
150,G2741910000203,274191003674,2741910000203
151,G2711670200803,271167000548,2711670200803
152,G2704050000203,270405003718,2704050000203
153,G2700128000203,270012801444,2700128000203
154,G2728970000103,272897000039,2728970000103
155,G2728200000103,272820001244,2728200000103
156,G2733900100103,273390001107,2733900100103
157,G2728350000103,272835001253,2728350000103
158,G2730870100103,273087001307,2730870100103
159,G2733900100403,273390001643,2733900100403
160,G2702910000103,270291001736,2702910000103
161,G2706090200703,270609000257,2706090200703
162,G2710140000103,271014000434,2710140000103
163,G2706090200103,270609000248,2706090200103
164,G2700091100103,270009100898,2700091100103
165,G2700091100103,270009101288,2700091100103
166,G2704470000103,270447000201,2704470000103
167,G2721320100103,272132001073,2721320100103
168,G2717120000103,271712001890,2717120000103
169,G2700099000103,270009900676,2700099000103
170,G2712270201003,271227000601,2712270201003
171,G2723820000203,272382003514,2723820000203
172,G2700017100203,270001700352,2700017100203
173,G2700017100203,270001701673,2700017100203
174,G2700017100603,270001701672,2700017100603
175,G2732550000103,273255001405,2732550000103
176,G2708880000203,551116001073,2708880000203
177,G2706060000103,270606000245,2706060000103
178,G2707410100203,270741003657,2707410100203
179,G2710260100103,271026000447,2710260100103
180,G2710260100103,271026002690,2710260100103
181,G2721420100403,272142003509,2721420100403
182,G2721420100503,272142003511,2721420100503
183,G2791448000103,279144802317,2791448000103
184,G2700126000103,270012600050,2700126000103
185,G2713560100103,271356000698,2713560100103
186,G2713560100103,271356002240,2713560100103
187,G2703660000103,270366000169,2703660000103
188,G2721420000403,272142003510,2721420000403
189,G2703570000103,270357000164,2703570000103
190,G2700103000103,270010303467,2700103000103
191,G2713110000103,271311000658,2713110000103
192,G2700183000103,270018301738,2700183000103
193,G2742780000103,274278001816,2742780000103
194,G2723010000103,272301001134,2723010000103
195,G2713930000103,271393000015,2713930000103
196,G2707320000103,270732000304,2707320000103
